gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,24063,4096,2048,45,0,126.3037,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3196.34,1789.01,0.0
gfx950,256,24078,1280,4096,54,0,73.6228,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3429.32,1542.63,0.0
gfx950,256,24078,4096,1024,54,0,88.1707,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2290.79,2400.71,0.0
gfx950,256,24078,9216,4096,54,0,432.5007,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4203.06,1183.79,0.0
gfx950,256,24081,4608,4096,54,0,229.489,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3961.09,1223.09,0.0
gfx950,256,24086,1280,4096,54,0,76.0933,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3319.08,1493.03,0.0
gfx950,256,24086,4096,1024,45,0,88.9062,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2272.6,2381.63,0.0
gfx950,256,24087,4608,4096,54,0,228.5185,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3978.91,1228.58,0.0
gfx950,256,24088,9216,4096,54,0,434.8269,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4182.32,1177.93,0.0
gfx950,256,24089,9216,4096,54,0,427.3887,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4255.28,1198.48,0.0
gfx950,256,24099,9216,4096,54,0,428.906,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4241.99,1194.72,0.0
gfx950,256,24104,2304,4096,54,0,130.2632,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3492.53,1267.85,0.0
gfx950,256,24104,4096,2048,54,0,126.8535,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3187.91,1784.24,0.0
gfx950,256,24105,9216,4096,54,0,433.7053,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4196.09,1181.78,0.0
gfx950,256,24125,4608,4096,54,0,230.9364,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3943.46,1217.57,0.0
